dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_only,Logistic Regression,,std,,,0.04961241550655675,0.05236508806169552,0.05654375531460301,0.04629440809276729,0.06435846357954426,0.026093034589277465,0.04629440809276729,0.035166730119187084
dataset1,Dataset 1,acoustic_only,Random Forest,,mean,,,0.8290196078431373,0.7003829740671847,0.8511352445562972,0.9623044096728307,0.4384615384615385,0.8341034934058189,0.9623044096728307,0.8935611128263181
dataset1,Dataset 1,acoustic_only,Random Forest,,std,,,0.0679082765601871,0.0899964890947811,0.053193289478196217,0.04103661945021806,0.14287827400774392,0.04402157977403614,0.04103661945021806,0.042374810745772096
dataset1,Dataset 1,acoustic_only,SVM-RBF,,mean,,,0.8170980392156864,0.7118056315424738,0.8233814786446366,0.9248933143669987,0.4987179487179487,0.8446581196581198,0.9248933143669987,0.8825309387294169
dataset1,Dataset 1,acoustic_only,SVM-RBF,,std,,,0.07438513822617615,0.09468920810245379,0.07861412718470655,0.06173156833894356,0.15467192910859712,0.04785513896511781,0.06173156833894356,0.04951627762534856
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),,mean,,,0.8330980392156864,0.7025157748841959,0.8741392201918516,0.9678520625889047,0.43717948717948724,0.8351427900265109,0.9678520625889047,0.8964598411713702
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),,std,,,0.042324427584069055,0.06293962507962128,0.045926008047234096,0.02270062593666322,0.11434718807838376,0.03256698053005806,0.02270062593666322,0.026078825881497392
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,,mean,,,0.7973333333333332,0.7099089980668929,0.8321151110624795,0.8877667140825036,0.5320512820512822,0.8469964335817994,0.8877667140825036,0.8667727636415178
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,,std,,,0.0547240815887171,0.057446117278353644,0.048592338363528144,0.049423078254722676,0.06992764176048535,0.030098023760784316,0.049423078254722676,0.03870818476781025
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,,mean,,,0.8172549019607844,0.68742750848014,0.8508580442790971,0.9517780938833571,0.4230769230769231,0.8287123728984195,0.9517780938833571,0.8859128141211089
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,,std,,,0.05788333598187495,0.07560435822191128,0.050659746724345305,0.03529917190621612,0.12162606385262996,0.03808757033635242,0.03529917190621612,0.03617584126539011
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,,mean,,,0.8170980392156864,0.7118056315424738,0.822122223438013,0.9248933143669987,0.4987179487179487,0.8446581196581198,0.9248933143669987,0.8825309387294169
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,,std,,,0.07438513822617615,0.09468920810245379,0.07836947112446781,0.06173156833894356,0.15467192910859712,0.04785513896511781,0.06173156833894356,0.04951627762534856
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),,mean,,,0.8330980392156864,0.7081464055148267,0.8729264689791005,0.9624466571834993,0.45384615384615384,0.8380297996577066,0.9624466571834993,0.8958536585365854
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),,std,,,0.05283329603875861,0.07095146873618839,0.04954851884914024,0.030942512166652888,0.1166596222161777,0.03649086620879628,0.030942512166652888,0.03312777437227264
dataset2,Dataset 2,acoustic_only,Logistic Regression,,mean,,,0.7875,0.7875,0.878125,0.825,0.75,0.763968253968254,0.825,0.7905228758169934
dataset2,Dataset 2,acoustic_only,Logistic Regression,,std,,,0.11353688827865593,0.11353688827865593,0.06385255231782047,0.16770509831248423,0.08838834764831845,0.08519759021050417,0.16770509831248423,0.11886847802026668
dataset2,Dataset 2,acoustic_only,Random Forest,,mean,,,0.7875,0.7875,0.865625,0.725,0.85,0.8357142857142857,0.725,0.7747619047619047
dataset2,Dataset 2,acoustic_only,Random Forest,,std,,,0.07126096406869611,0.07126096406869611,0.06210814660734934,0.05590169943749474,0.10458250331675945,0.11180339887498948,0.05590169943749474,0.0713412164249933
dataset2,Dataset 2,acoustic_only,SVM-RBF,,mean,,,0.8375,0.8375,0.890625,0.8,0.875,0.8642857142857142,0.8,0.8300000000000001
