feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
std_MFCC_1st_coef,MFCC,0,0.0,0.0,0.2849674886573293,251,0,False,False,False,False
std_MFCC_3rd_coef,MFCC,0,0.0,0.0,0.14288122568917566,251,0,False,False,False,False
std_MFCC_4th_coef,MFCC,0,0.0,0.0,0.12177525347669915,252,0,False,False,False,False
std_MFCC_5th_coef,MFCC,0,0.0,0.0,0.11612705262893656,252,0,False,False,False,False
std_MFCC_6th_coef,MFCC,0,0.0,0.0,0.10618404146703034,251,0,False,False,False,False
std_MFCC_7th_coef,MFCC,0,0.0,0.0,0.07997889892321729,252,0,False,False,False,False
std_MFCC_8th_coef,MFCC,0,0.0,0.0,0.07004229749779552,252,0,False,False,False,False
std_MFCC_9th_coef,MFCC,0,0.0,0.0,0.06446033007137981,252,0,False,False,False,False
std_MFCC_10th_coef,MFCC,0,0.0,0.0,0.06517429308432153,252,0,False,False,False,False
std_MFCC_11th_coef,MFCC,0,0.0,0.0,0.06058489562742171,252,0,False,False,False,False
std_delta_log_energy,Delta / Delta-delta,0,0.0,0.0,0.02573179818241642,252,0,False,False,False,False
std_0th_delta,Delta / Delta-delta,0,0.0,0.0,0.05252641621365371,251,0,False,False,False,False
std_1st_delta,Delta / Delta-delta,0,0.0,0.0,0.034655887351023706,252,0,False,False,False,False
std_2nd_delta,Delta / Delta-delta,0,0.0,0.0,0.020026459242586385,252,0,False,False,False,False
std_3rd_delta,Delta / Delta-delta,0,0.0,0.0,0.020172241969243155,252,0,False,False,False,False
std_4th_delta,Delta / Delta-delta,0,0.0,0.0,0.01688251716114789,252,0,False,False,False,False
std_5th_delta,Delta / Delta-delta,0,0.0,0.0,0.01534071838788841,252,0,False,False,False,False
std_11th_delta,Delta / Delta-delta,0,0.0,0.0,0.00861699706466596,250,0,False,False,False,False
std_12th_delta,Delta / Delta-delta,0,0.0,0.0,0.008286445446454242,252,0,False,False,False,False
std_delta_delta_0th,Delta / Delta-delta,0,0.0,0.0,0.019981523102260687,252,0,False,False,False,False
std_1st_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.017671242020211492,251,0,False,False,False,False
std_2nd_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.009719027555433005,252,0,False,False,False,False
std_3rd_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.009926409969086253,252,0,False,False,False,False
std_4th_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.008523407440141632,252,0,False,False,False,False
